"province","geotype","income_quintile","hhsize","risk_score","risk_category"
"1","1","3",7,0.102,"Low"
"1","1","4",3,0.052,"Low"
"1","1","3",5,0.026,"Low"
"1","1","1",2,0.266,"High"
"1","1","4",15,0.274,"High"
"1","1","4",4,0.016,"Low"
"1","1","4",1,0.234,"Medium"
"1","1","3",3,0.23,"Medium"
"1","1","1",2,0.022,"Low"
"1","1","3",4,0.166,"Medium"
"1","1","1",1,0.002,"Low"
"1","1","5",2,0.126,"Low"
"1","1","3",2,0.02,"Low"
"1","1","5",2,0.126,"Low"
"1","1","1",3,0.082,"Low"
"1","1","4",3,0.186,"Medium"
"1","1","5",1,0.014,"Low"
"1","1","5",2,0.154,"Medium"
"1","3","5",5,0.192,"Medium"
"1","3","2",6,0.046,"Low"
"1","3","4",3,0.436,"Very High"
"1","3","2",1,0.052,"Low"
"1","3","3",4,0.084,"Low"
"1","1","5",6,0.422,"Very High"
"1","1","4",4,0.156,"Medium"
"1","1","2",4,0.048,"Low"
"1","1","1",1,0.002,"Low"
"1","1","2",3,0.052,"Low"
"1","1","4",4,0.016,"Low"
"1","1","5",5,0.236,"Medium"
"1","1","1",1,0.004,"Low"
"1","1","4",4,0.01,"Low"
"1","1","3",2,0.084,"Low"
"1","1","2",7,0.05,"Low"
"1","1","2",4,0.204,"Medium"
"1","1","3",1,0.194,"Medium"
"1","1","4",7,0.214,"Medium"
"1","1","4",3,0.05,"Low"
"1","1","3",1,0.056,"Low"
"1","1","4",6,0.046,"Low"
"1","1","2",1,0.002,"Low"
"1","1","4",3,0.308,"High"
"1","1","4",5,0.028,"Low"
"1","1","2",1,0.24,"Medium"
"1","1","1",4,0.118,"Low"
"1","1","1",1,0.004,"Low"
"1","1","5",3,0.12,"Low"
"1","1","5",4,0.106,"Low"
"1","1","4",6,0.048,"Low"
"1","1","4",7,0.196,"Medium"
"1","1","4",7,0.024,"Low"
"1","1","1",3,0.006,"Low"
"1","1","4",3,0.176,"Medium"
"1","1","1",5,0.032,"Low"
"1","1","4",2,0.202,"Medium"
"1","1","5",12,0.038,"Low"
"1","1","4",5,0.21,"Medium"
"1","1","4",1,0.048,"Low"
"1","1","4",5,0.082,"Low"
"1","1","4",2,0.372,"Very High"
"1","1","5",4,0.042,"Low"
"1","1","4",6,0.224,"Medium"
"1","1","3",8,0.06,"Low"
"1","1","3",5,0.05,"Low"
"1","1","5",4,0.044,"Low"
"1","1","5",4,0.004,"Low"
"1","1","5",3,0.004,"Low"
"1","1","4",1,0.428,"Very High"
"1","1","5",4,0.006,"Low"
"1","1","5",2,0.02,"Low"
"1","1","5",3,0.134,"Low"
"1","1","5",2,0.154,"Medium"
"1","1","5",4,0.004,"Low"
"1","1","4",1,0.098,"Low"
"1","1","3",2,0.008,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","2",1,0.042,"Low"
"1","1","5",2,0.122,"Low"
"1","1","4",1,0.414,"Very High"
"1","1","4",2,0.002,"Low"
"1","1","3",7,0.1,"Low"
"1","1","2",5,0.076,"Low"
"1","1","3",7,0.162,"Medium"
"1","1","1",1,0,"Low"
"1","1","4",2,0.2,"Medium"
"1","1","1",1,0,"Low"
"1","1","5",4,0.028,"Low"
"1","1","2",4,0.246,"Medium"
"1","1","3",4,0.03,"Low"
"1","1","3",5,0.056,"Low"
"1","1","2",2,0.004,"Low"
"1","1","3",3,0.098,"Low"
"1","1","2",6,0.036,"Low"
"1","3","1",3,0.032,"Low"
"1","3","5",1,0.008,"Low"
"1","1","2",4,0.326,"High"
"1","1","3",4,0.03,"Low"
"1","1","1",2,0.08,"Low"
"1","1","1",1,0,"Low"
"1","1","3",4,0.034,"Low"
"1","1","5",1,0.13,"Low"
"1","1","5",2,0.022,"Low"
"1","1","3",1,0.16,"Medium"
"1","1","5",2,0.198,"Medium"
"1","1","5",2,0.154,"Medium"
"1","1","5",1,0.168,"Medium"
"1","1","5",4,0.004,"Low"
"1","1","5",2,0.044,"Low"
"1","1","4",1,0.098,"Low"
"1","1","5",2,0.122,"Low"
"1","1","5",2,0.06,"Low"
"1","1","4",2,0.194,"Medium"
"1","1","1",1,0,"Low"
"1","1","2",4,0.262,"High"
"1","1","2",2,0.264,"High"
"1","1","2",8,0.048,"Low"
"1","1","4",6,0.098,"Low"
"1","1","5",4,0.04,"Low"
"1","1","2",2,0.004,"Low"
"1","1","1",3,0.004,"Low"
"1","1","1",1,0,"Low"
"1","1","3",1,0.174,"Medium"
"1","1","4",3,0.126,"Low"
"1","3","2",2,0.094,"Low"
"1","3","1",2,0.142,"Low"
"1","3","5",4,0.158,"Medium"
"1","3","5",3,0.082,"Low"
"1","3","3",2,0.138,"Low"
"1","3","3",1,0.454,"Very High"
"1","3","3",3,0.046,"Low"
"1","1","3",5,0.014,"Low"
"1","1","3",4,0.188,"Medium"
"1","1","4",2,0.002,"Low"
"1","1","2",6,0.048,"Low"
"1","1","3",1,0.098,"Low"
"1","1","4",2,0.364,"Very High"
"1","1","4",4,0.162,"Medium"
"1","1","3",3,0.02,"Low"
"1","1","5",6,0.114,"Low"
"1","1","4",4,0.136,"Low"
"1","1","4",4,0.14,"Low"
"1","1","4",3,0.09,"Low"
"1","3","5",3,0.098,"Low"
"1","1","1",2,0.02,"Low"
"1","1","4",5,0.052,"Low"
"1","1","4",7,0.208,"Medium"
"1","1","4",4,0.1,"Low"
"1","1","3",5,0.174,"Medium"
"1","1","4",3,0.128,"Low"
"1","1","3",8,0.082,"Low"
"1","1","1",2,0.08,"Low"
"1","1","4",3,0.042,"Low"
"1","1","5",3,0.1,"Low"
"1","1","3",3,0.256,"High"
"1","1","4",3,0.18,"Medium"
"1","1","4",6,0.204,"Medium"
"1","1","3",2,0.04,"Low"
"1","1","4",6,0.082,"Low"
"1","1","3",4,0.032,"Low"
"1","1","4",3,0.09,"Low"
"1","1","5",3,0.012,"Low"
"1","1","4",1,0.114,"Low"
"1","3","5",2,0.244,"Medium"
"1","1","3",4,0.094,"Low"
"1","1","1",5,0.288,"High"
"1","1","4",2,0.222,"Medium"
"1","1","4",2,0.026,"Low"
"1","1","4",5,0.066,"Low"
"1","1","3",4,0.01,"Low"
"1","1","5",2,0.016,"Low"
"1","1","4",14,0.346,"High"
"1","1","5",7,0.07,"Low"
"1","1","4",5,0.084,"Low"
"1","1","5",2,0.014,"Low"
"1","1","4",4,0.042,"Low"
"1","1","5",2,0.126,"Low"
"1","1","5",3,0.042,"Low"
"1","1","2",2,0.032,"Low"
"1","1","2",4,0.298,"High"
"1","1","1",3,0.01,"Low"
"1","1","3",6,0.27,"High"
"1","1","3",5,0.068,"Low"
"1","1","4",4,0.076,"Low"
"1","1","1",1,0,"Low"
"1","1","5",1,0.014,"Low"
"1","1","4",2,0.202,"Medium"
"1","1","5",3,0.002,"Low"
"1","1","1",2,0.022,"Low"
"1","1","3",3,0.116,"Low"
"1","1","2",2,0.018,"Low"
"1","1","4",3,0.056,"Low"
"1","1","3",4,0.168,"Medium"
"1","1","5",13,0.082,"Low"
"1","1","2",3,0.042,"Low"
"1","1","3",1,0.194,"Medium"
"1","1","4",5,0.192,"Medium"
"1","1","5",1,0.014,"Low"
"1","1","5",2,0.062,"Low"
"1","1","1",2,0.062,"Low"
"1","1","5",2,0.046,"Low"
"1","1","5",2,0.02,"Low"
"1","1","5",3,0.014,"Low"
"1","1","5",2,0.036,"Low"
"1","1","5",2,0.316,"High"
"1","1","5",1,0.068,"Low"
"1","1","5",2,0.154,"Medium"
"1","1","4",1,0.428,"Very High"
"1","1","4",4,0.196,"Medium"
"1","1","5",5,0.162,"Medium"
"1","1","3",2,0.086,"Low"
"1","1","3",4,0.034,"Low"
"1","1","4",3,0.13,"Low"
"1","1","5",4,0.128,"Low"
"1","1","4",2,0.1,"Low"
"1","1","1",5,0.134,"Low"
"1","1","2",1,0.138,"Low"
"1","1","5",4,0.03,"Low"
"1","1","2",2,0.032,"Low"
"1","1","3",3,0,"Low"
"1","1","3",1,0.148,"Low"
"1","1","4",2,0.046,"Low"
"1","1","1",3,0.024,"Low"
"1","1","3",5,0.16,"Medium"
"1","1","5",1,0.074,"Low"
"1","1","2",1,0.002,"Low"
"1","1","5",4,0.048,"Low"
"1","1","2",3,0.046,"Low"
"1","1","5",7,0.066,"Low"
"1","1","5",3,0.266,"High"
"1","1","2",1,0.08,"Low"
"1","1","3",3,0.134,"Low"
"1","1","5",3,0.046,"Low"
"1","1","5",1,0.114,"Low"
"1","1","5",2,0.052,"Low"
"1","1","5",2,0.154,"Medium"
"1","1","5",1,0.182,"Medium"
"1","1","5",2,0.198,"Medium"
"1","1","5",2,0.198,"Medium"
"1","1","5",2,0.022,"Low"
"1","1","5",2,0.104,"Low"
"1","1","2",1,0.168,"Medium"
"1","1","4",1,0.026,"Low"
"1","1","4",8,0.382,"Very High"
"1","1","4",4,0.076,"Low"
"1","1","3",2,0.172,"Medium"
"1","1","4",3,0.062,"Low"
"1","1","5",5,0.066,"Low"
"1","1","4",2,0.204,"Medium"
"1","1","5",2,0.094,"Low"
"1","1","5",1,0.074,"Low"
"1","1","5",3,0.006,"Low"
"1","1","5",2,0.16,"Medium"
"1","1","5",3,0.088,"Low"
"1","1","5",5,0.046,"Low"
"1","1","5",1,0.068,"Low"
"1","1","5",2,0.126,"Low"
"1","1","5",4,0,"Low"
"1","1","5",2,0.14,"Low"
"1","1","5",1,0.014,"Low"
"1","1","5",1,0.284,"High"
"1","1","5",7,0.06,"Low"
"1","1","4",5,0.032,"Low"
"1","1","4",6,0.25,"Medium"
"1","1","4",3,0.026,"Low"
"1","1","4",3,0.316,"High"
"1","1","5",4,0.054,"Low"
"1","1","3",2,0.126,"Low"
"1","1","2",1,0.002,"Low"
"1","1","4",2,0.058,"Low"
"1","1","5",4,0.05,"Low"
"1","1","5",1,0.014,"Low"
"1","1","5",2,0.078,"Low"
"1","1","5",5,0.112,"Low"
"1","1","5",5,0.01,"Low"
"1","1","5",2,0.132,"Low"
"1","1","5",2,0.122,"Low"
"1","1","5",4,0.016,"Low"
"1","1","5",2,0.078,"Low"
"1","1","5",3,0.006,"Low"
"1","1","4",2,0.176,"Medium"
"1","1","5",4,0.054,"Low"
"1","1","5",2,0.198,"Medium"
"1","1","5",5,0.03,"Low"
"1","1","5",2,0.16,"Medium"
"1","1","5",4,0.018,"Low"
"1","1","5",4,0.032,"Low"
"1","1","5",2,0.076,"Low"
"1","1","5",4,0.058,"Low"
"1","1","5",4,0,"Low"
"1","1","5",4,0,"Low"
"1","1","5",1,0.064,"Low"
"1","1","1",3,0.026,"Low"
"1","1","2",4,0.182,"Medium"
"1","1","4",6,0.056,"Low"
"1","1","3",3,0,"Low"
"1","1","4",4,0.196,"Medium"
"1","1","5",6,0.148,"Low"
"1","1","2",2,0.004,"Low"
"1","1","5",3,0.024,"Low"
"1","1","5",4,0.012,"Low"
"1","1","5",4,0.01,"Low"
"1","1","4",2,0.016,"Low"
"1","1","4",3,0.146,"Low"
"1","1","5",4,0.128,"Low"
"1","1","4",2,0.02,"Low"
"1","1","5",3,0.178,"Medium"
"1","1","1",2,0.016,"Low"
"1","1","4",7,0.174,"Medium"
"1","1","2",2,0.004,"Low"
"1","1","2",2,0.004,"Low"
"1","1","4",6,0.192,"Medium"
"1","1","5",4,0.006,"Low"
"1","1","5",5,0.23,"Medium"
"1","1","5",5,0.038,"Low"
"1","1","5",4,0.094,"Low"
"1","1","3",7,0.134,"Low"
"1","1","5",5,0.056,"Low"
"1","1","1",3,0.082,"Low"
"1","1","5",2,0.162,"Medium"
"1","1","1",4,0.018,"Low"
"1","1","5",7,0.148,"Low"
"1","1","5",2,0.126,"Low"
"1","1","5",2,0.056,"Low"
"1","1","4",5,0.128,"Low"
"1","1","5",3,0.262,"High"
"1","1","5",4,0.052,"Low"
"1","1","5",2,0.072,"Low"
"1","1","3",3,0.14,"Low"
"1","1","4",2,0.1,"Low"
"1","1","5",3,0.02,"Low"
"1","1","1",1,0,"Low"
"1","1","2",2,0.018,"Low"
"1","1","3",1,0.022,"Low"
"1","1","2",2,0.018,"Low"
"1","1","4",4,0.036,"Low"
"1","1","5",4,0.06,"Low"
"1","1","4",5,0.154,"Medium"
"1","1","5",4,0.018,"Low"
"1","1","5",2,0.046,"Low"
"1","1","5",3,0.036,"Low"
"1","1","5",4,0.004,"Low"
"1","1","5",6,0.106,"Low"
"1","1","3",4,0.04,"Low"
"1","1","5",5,0.066,"Low"
"1","1","1",1,0,"Low"
"1","1","5",4,0.208,"Medium"
"1","1","5",2,0.014,"Low"
"1","1","5",8,0.08,"Low"
"1","1","5",5,0.052,"Low"
"1","1","5",3,0.002,"Low"
"1","1","5",3,0.006,"Low"
"1","1","5",1,0.014,"Low"
"1","1","5",4,0.018,"Low"
"1","1","5",4,0.038,"Low"
"1","1","3",4,0.046,"Low"
"1","1","4",4,0.326,"High"
"1","1","5",2,0.036,"Low"
"1","1","5",4,0.114,"Low"
"1","1","4",7,0.174,"Medium"
"1","1","1",2,0.002,"Low"
"1","1","5",3,0.012,"Low"
"1","1","5",5,0.052,"Low"
"1","1","4",1,0.026,"Low"
"1","1","5",3,0.042,"Low"
"1","1","5",3,0.036,"Low"
"1","1","5",4,0.056,"Low"
"1","1","5",5,0.01,"Low"
"1","1","2",2,0.004,"Low"
"1","1","4",4,0.106,"Low"
"1","1","5",2,0.06,"Low"
"1","1","1",2,0.006,"Low"
"1","1","5",2,0.096,"Low"
"1","1","5",5,0.138,"Low"
"1","1","5",3,0.104,"Low"
"1","1","5",4,0.158,"Medium"
"1","1","1",1,0.056,"Low"
"1","1","2",1,0.052,"Low"
"1","1","1",1,0.002,"Low"
"1","1","3",1,0.14,"Low"
"1","1","3",1,0.222,"Medium"
"1","1","3",1,0.216,"Medium"
"1","1","3",2,0.142,"Low"
"1","1","4",2,0.2,"Medium"
"1","1","4",5,0.156,"Medium"
"1","1","4",4,0.172,"Medium"
"1","1","5",3,0.032,"Low"
"1","1","3",3,0.166,"Medium"
"1","1","2",3,0.016,"Low"
"1","1","3",4,0.036,"Low"
"1","1","4",6,0.144,"Low"
"1","1","2",1,0.002,"Low"
"1","1","2",7,0.028,"Low"
"1","1","1",3,0.006,"Low"
"1","1","4",5,0.05,"Low"
"1","1","4",9,0.068,"Low"
"1","1","2",4,0.22,"Medium"
"1","1","4",5,0.032,"Low"
"1","1","2",2,0.02,"Low"
"1","1","5",6,0.292,"High"
"1","1","3",3,0.292,"High"
"1","1","4",3,0.036,"Low"
"1","1","5",9,0.208,"Medium"
"1","1","1",1,0,"Low"
"1","1","4",5,0.068,"Low"
"1","1","5",4,0.074,"Low"
"1","1","2",2,0.004,"Low"
"1","1","2",8,0.124,"Low"
"1","1","4",6,0.106,"Low"
"1","1","3",5,0.004,"Low"
"1","1","5",7,0.158,"Medium"
"1","1","2",1,0.002,"Low"
"1","1","4",5,0.016,"Low"
"1","1","4",3,0.026,"Low"
"1","1","2",3,0.02,"Low"
"1","1","4",5,0.194,"Medium"
"1","1","4",9,0.416,"Very High"
"1","1","3",7,0.11,"Low"
"1","1","3",2,0.238,"Medium"
"1","1","3",1,0.022,"Low"
"1","1","4",1,0.032,"Low"
"1","1","5",4,0.03,"Low"
"1","1","3",3,0.024,"Low"
"1","1","5",3,0.092,"Low"
"1","1","5",5,0.08,"Low"
"1","1","4",4,0.22,"Medium"
"1","1","5",5,0.012,"Low"
"1","1","5",3,0.022,"Low"
"1","1","5",4,0.042,"Low"
"1","1","4",2,0.222,"Medium"
"1","1","3",4,0.056,"Low"
"1","1","1",1,0.002,"Low"
"1","1","4",5,0.01,"Low"
"1","1","1",2,0.08,"Low"
"1","1","5",7,0.042,"Low"
"1","1","4",4,0.07,"Low"
"1","1","2",2,0.032,"Low"
"1","1","1",2,0.016,"Low"
"1","1","4",4,0.074,"Low"
"1","1","4",5,0.06,"Low"
"1","1","5",3,0.1,"Low"
"1","1","4",1,0.282,"High"
"1","1","1",1,0,"Low"
"1","1","4",4,0.104,"Low"
"1","1","4",3,0.026,"Low"
"1","1","2",5,0.274,"High"
"1","1","5",4,0.01,"Low"
"1","1","4",3,0.102,"Low"
"1","1","2",2,0.008,"Low"
"1","1","1",2,0.008,"Low"
"1","1","5",8,0.052,"Low"
"1","1","3",3,0.162,"Medium"
"1","1","3",1,0.11,"Low"
"1","1","2",3,0.092,"Low"
"1","1","2",2,0.138,"Low"
"1","1","4",6,0.078,"Low"
"1","1","2",9,0.044,"Low"
"1","1","1",5,0.134,"Low"
"1","1","5",4,0.09,"Low"
"1","1","3",2,0.24,"Medium"
"1","1","2",4,0.14,"Low"
"1","1","2",2,0.01,"Low"
"1","1","2",2,0.01,"Low"
"1","1","1",2,0.02,"Low"
"1","1","1",1,0.002,"Low"
"1","1","3",4,0.022,"Low"
"1","1","1",1,0.002,"Low"
"1","1","4",3,0.044,"Low"
"1","1","3",3,0.256,"High"
"1","1","5",3,0.046,"Low"
"1","1","3",5,0.01,"Low"
"1","1","4",5,0.144,"Low"
"1","1","3",1,0.11,"Low"
"1","1","3",4,0.012,"Low"
"1","1","4",1,0.272,"High"
"1","1","1",3,0,"Low"
"1","1","4",1,0.282,"High"
"1","1","3",2,0.008,"Low"
"1","1","4",4,0.022,"Low"
"1","1","3",1,0.034,"Low"
"1","1","4",3,0.104,"Low"
"1","1","3",1,0.022,"Low"
"1","1","4",4,0.112,"Low"
"1","1","4",6,0.252,"High"
"1","1","2",6,0.038,"Low"
"1","1","5",2,0.036,"Low"
"1","1","4",1,0.098,"Low"
"1","1","1",1,0.002,"Low"
"1","1","3",1,0.062,"Low"
"1","1","3",6,0.048,"Low"
"1","1","1",1,0.018,"Low"
"1","1","5",6,0.152,"Medium"
"1","1","1",1,0.002,"Low"
"1","1","2",3,0.008,"Low"
"1","1","1",1,0.002,"Low"
"1","1","5",5,0.258,"High"
"1","1","5",3,0.042,"Low"
"1","1","3",7,0.066,"Low"
"1","1","3",6,0.164,"Medium"
"1","1","5",3,0.042,"Low"
"1","1","4",7,0.168,"Medium"
"1","1","4",4,0.252,"High"
